device,micro,SDC,DUE,Err SDC,Err DUE
Kepler,FADD,3.71428571428571,1,0.824297680857265,0.093333333333333
Kepler,FMUL,3.44778675843139,1.57178513987313,0.819486894119188,0.09937738303714
Kepler,FFMA,4.14700795277306,1.05881054113354,0.838353173735287,0.086469527525906
Kepler,IADD,12.6504945435144,10.3642605898672,2.72160145726206,2.46342837179883
Kepler,IMUL,17.6661452182669,9.8145251212594,3.48000822286691,2.59384498286289
Kepler,IMAD,19.4112114056102,5.07677836762115,3.33685269103989,0.292661341192278
Kepler,LDST,3.24982758729396,23.0945194501316,0.929110703844905,2.47680472692404
Kepler,RF,30.9756326904761,0.67618325,1.9574411822682,0.289208353166716
Kepler,SHARED,4.16109855794316,6.38680243777322,1.24374069895481,1.54087562792564
Volta,HADD,3.4712959520214,1.53145409648002,0.200110001940057,0.200110001940057
Volta,HMUL,3.77428442745125,1.69842799235306,1.16966286214894,0.184939936945111
Volta,HFMA,5.4,1,1.4402999687565,0.195999999999999
Volta,FADD,4.37161630178731,1.41782150328237,0.231577512202787,0.231577512202787
Volta,FMUL,4.78171695385688,1.7165137783076,0.240311928963063,0.240311928963064
Volta,FFMA,9.17749765703563,1.64373092364817,2.19757118710902,0.268476050862535
Volta,DADD,3.07444630614161,1.60127411778209,0.869765877205357,0.125539890834115
Volta,DMUL,7.10302433126009,1.08351218612442,1.81248060461981,0.235964876089318
Volta,DFMA,9.24647673752309,2.13380232404379,2.05203635830332,0.232347364173657
Volta,IADD,7.26868112921142,4.33027811953021,2.07808237778213,0.303119468367114
Volta,IMUL,6.32670718204269,4.38002804910648,0.476936387569372,0.476936387569372
Volta,IMAD,7.41887634287927,3.29727837461301,0.807833201780187,0.807833201780187
Volta,HMMA,49.5563910401129,100.489348498006,2.69807017885059,23.052321713229
Volta,FMMA,111.420343996735,65.449712557523,18.2621769942243,13.9966522270377
Volta,RF,10.6981871443965,0.221368125,0.396054282150698,0.056971435331487
Volta,SHARED,1.25377161442367,1.27835537156924,0.243318101161198,0.245691992509191
