benchmark,RF,SHARED
FLAVA,37.0,7200.0
FMXM,25.0,8192.0
QUICKSORT,26.14880185545002,318.9707916141781
MERGESORT,15.408227756921088,2561.3154148232784
FHOTSPOT,23.0,3072.0
FFASTER-R-CNN,67.7739443180836,5484.728755592096
FYOLOV2,96.25001596101467,8208.31787565385
FYOLOV3,99.59107417704998,9279.083047114249
FGEMM,247.86779820016378,31746.021227023153
FGAUSSIAN,13.979274311719108,0.0
BFS,20.34020450607719,0.0
FLUD,26.090064509878122,8808.411778743699
CCL,33.17871233946455,117.14572535114662
NW,32.0,8451.999744000002
FRESNET,63.93028715468108,2042.7302535579358
FFMA,10.0,0.0
FADD,10.0,0.0
FMUL,10.0,0.0
LDST,14.0,0.0
IMUL,10.0,0.0
IADD,10.0,0.0
IMAD,10.000000000000002,0.0
